strategy,p@1,p@2,p@5,avg p@5,avg p@10,avg p@20,avg p@30,r@30
summation_strategy avg,1.00,0.90,0.96,0.99,0.96,0.80,0.66,0.92
summation_strategy std,0.00,0.22,0.09,0.02,0.01,0.03,0.03,0.08
strength avg,1.00,1.00,1.00,1.00,0.99,0.82,0.67,0.96
strength std,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.05
pagerank avg,0.80,0.90,0.52,0.81,0.71,0.51,0.41,0.44
pagerank std,0.45,0.22,0.11,0.09,0.08,0.07,0.06,0.09
outstrength avg,1.00,1.00,0.96,0.99,0.80,0.58,0.45,0.50
outstrength std,0.00,0.00,0.09,0.02,0.04,0.05,0.04,0.07
instrength avg,1.00,1.00,1.00,1.00,0.85,0.63,0.50,0.58
instrength std,0.00,0.00,0.00,0.00,0.04,0.03,0.03,0.04